SEMANTICS;P_PARTIAL;NOISE;RATIO_CONFIG;NFILES_POS;N_RUNS;MEAN_MCC_FULL;MEAN_MCC_HARD;MEAN_DELTA
CMP;1.0;0.1;60pos;48;5;0.9282;0.8369;-0.0913
CMP;1.0;0.1;60pos;72;5;0.9518;0.8848;-0.0670
CMP;1.0;0.1;60pos;96;5;0.9339;0.8723;-0.0616
CMP;1.0;0.2;1;10;5;0.7603;0.6867;-0.0736
CMP;1.0;0.2;1;20;5;0.8546;0.8487;-0.0059
CMP;1.0;0.2;1;30;5;0.9026;0.8590;-0.0437
CMP;1.0;0.2;1;40;5;0.8200;0.7791;-0.0409
CMP;1.0;0.2;1;60;5;0.9785;0.9435;-0.0350
CMP;1.0;0.2;1;80;5;0.9555;0.9349;-0.0206
CMP;1.0;0.2;40pos;16;5;0.5811;0.4817;-0.0994
CMP;1.0;0.2;40pos;24;5;0.9023;0.8308;-0.0715
CMP;1.0;0.2;40pos;32;5;0.9489;0.8669;-0.0820
CMP;1.0;0.2;40pos;48;5;0.9049;0.8406;-0.0643
CMP;1.0;0.2;40pos;64;5;0.9254;0.8545;-0.0709
CMP;1.0;0.2;40pos;8;5;0.7736;0.7562;-0.0174
CMP;1.0;0.2;60pos;12;5;0.8302;0.6777;-0.1524
CMP;1.0;0.2;60pos;24;5;0.8067;0.7311;-0.0757
CMP;1.0;0.2;60pos;36;5;0.8392;0.7898;-0.0494
CMP;1.0;0.2;60pos;48;5;0.8615;0.8717;+0.0103
CMP;1.0;0.2;60pos;72;5;0.8951;0.7757;-0.1193
CMP;1.0;0.2;60pos;96;5;0.9401;0.8659;-0.0742
PRF;0.5;0.0;1;10;5;0.9705;0.9195;-0.0510
PRF;0.5;0.0;1;20;5;0.9843;0.9454;-0.0389
PRF;0.5;0.0;1;30;5;1.0000;1.0000;+0.0000
PRF;0.5;0.0;1;40;5;1.0000;1.0000;+0.0000
PRF;0.5;0.0;1;60;5;0.9940;0.9940;+0.0000
PRF;0.5;0.0;1;80;5;1.0000;1.0000;+0.0000
PRF;0.5;0.0;40pos;16;5;0.9960;0.9960;+0.0000
