,ID,ATTACK,ARGS,EXTENSION
13,p112_versionG,"att(b,a).  att(c,d).  att(d,e).  att(e,b). ",arg(a). arg(b). arg(c). arg(d). arg(e).,out(a) in(b) in(e)
14,p113_versionG,"att(a,b).  att(b,a).  att(c,b).  att(d,e).  att(e,b). ",arg(a). arg(b). arg(c). arg(d). arg(e).,in(a) out(b) out(c)
15,p114_versionG,"att(a,b).  att(b,a).  att(c,d).  att(d,b).  att(d,e).  att(e,b).  att(e,c). ",arg(a). arg(b). arg(c). arg(d). arg(e).,out(a) out(b) out(c) out(d) out(e)
16,p115_versionG,"att(a,b).  att(b,a).  att(c,d).  att(d,e).  att(e,c). ",arg(a). arg(b). arg(c). arg(d). arg(e).,in(a) out(b)
17,p116_versionG,"att(a,b).  att(b,a).  att(c,b).  att(d,b).  att(e,b). ",arg(a). arg(b). arg(c). arg(d). arg(e).,out(a) in(b) out(c) out(d) out(e)
18,p117_versionG,"att(b,a).  att(c,d).  att(d,e).  att(e,c). ",arg(a). arg(b). arg(c). arg(d). arg(e).,in(a) out(b)
19,p118_versionG,"att(a,b).  att(b,a).  att(b,e).  att(c,d).  att(d,c).  att(e,a).  att(e,b). ",arg(a). arg(b). arg(c). arg(d). arg(e).,out(a) in(c) in(e)
20,p119_versionG,"att(a,b).  att(b,a).  att(c,b).  att(c,d).  att(d,b).  att(d,e).  att(e,b).  att(e,c). ",arg(a). arg(b). arg(c). arg(d). arg(e).,in(c) in(d) in(e)
21,p11_versionD,"att(a,b).  att(b,a). ",arg(a). arg(b). arg(c).,out(a) in(b)
22,p120_versionG,"att(c,b).  att(c,d).  att(d,e).  att(e,a).  att(e,b). ",arg(a). arg(b). arg(c). arg(d). arg(e).,out(a) in(b) in(c) out(e)
23,p121_versionG,"att(a,b).  att(c,b).  att(d,b).  att(e,b).  att(e,c). ",arg(a). arg(b). arg(c). arg(d). arg(e).,in(a) out(b) in(e)
24,p122_versionG,"att(b,a).  att(c,d).  att(d,c).  att(e,c). ",arg(a). arg(b). arg(c). arg(d). arg(e).,out(a) in(b) out(c) out(d) out(e)
25,p123_versionG,"att(b,a).  att(c,d).  att(d,c).  att(e,b). ",arg(a). arg(b). arg(c). arg(d). arg(e).,out(a) in(b) in(e)
26,p124_versionG,"att(b,a).  att(c,b).  att(d,c).  att(e,a). ",arg(a). arg(b). arg(c). arg(d). arg(e).,out(a) in(b) in(e)
27,p125_versionG,"att(a,c).  att(b,a).  att(c,a).  att(c,d).  att(d,c).  att(e,c). ",arg(a). arg(b). arg(c). arg(d). arg(e).,in(a) out(c) out(d)
28,p126_versionG,"att(a,b).  att(c,d).  att(d,c).  att(d,e).  att(e,d). ",arg(a). arg(b). arg(c). arg(d). arg(e).,in(c) out(d)
